難易度,曲名,理論値,全国TOP,月岡恋鐘さんのスコア,全国平均,BPI
sl3,Disorder -ANOTHER-,3858,3787,0,3108.52,不明
sl3,うきせいこう [ZOI],3632,3564,0,3164.05,不明
sl3,SYNTHETICS,3578,3447,0,2883.72,不明
sl3,天海原〜あまみはら〜 [水平線],2666,2610,0,2116.1,不明
sl3,Iolite Quintz,3526,3467,0,2872.26,不明
sl3,Unleashed World [ANOTHER-],3200,3127,2947,2595.72,26.44
sl3,Absolute Future [ANOTHER],4142,4099,3667,3340.05,7.57
sl3,スピカ [Elgafar],3900,3861,0,3291.44,不明
sl3,エピトゥリカの祀 [c-663],4186,4146,0,3535.48,不明
sl3,スピカ -In your heart-,3108,3081,0,2623.31,不明
sl3,Aquahighway [INSANE],4138,4106,0,3498.51,不明
sl3,Chinese Tea -Re:O2ther-,3266,3178,0,2603.6,不明
sl3,Anti Function -SP HYPER-,4162,3952,0,3237.93,不明
sl3,Precious!!! [ANOTHER+],4260,4171,0,3418.81,不明
sl3,Call Me Murasa [Lunatic],4392,4367,0,3768.04,不明
sl3,Twilight Observer [Another+],4036,4023,0,3451.7,不明
sl3,Re:End of a Dream [Anfang],4142,4103,3856,3464.24,16.61
sl3,fly*high*five [ZOI],3690,3676,0,3246.78,不明
sl3,ENERGY SYNERGY MATRIX,4160,4146,3880,3115.35,16.87
sl3,GLITCH SWITCH [SP INSANE],3248,3190,2858,2502.59,12.78
sl3,Ice Festival,4230,4181,0,3344.78,不明
sl3,シグナルほっぴんぐ [⌒c(∪・x・)],3660,3646,3443,2950.48,16.58
sl3,To the restored sunflower garden [White Another],4000,3940,0,3212.57,不明
sl3,鍵 [ZOI],4464,4428,0,3805.11,不明
sl3,H∀TE [ANOTHER 2000Notes],4000,3904,0,3260.58,不明
sl3,violet [SP K4K1NSANE],3522,3513,0,3017.14,不明
sl3,Unshakable [Spiral Horn],2994,2989,2914,2606.24,21.85
sl3,ラケシスと永遠の祈祷者 [Coeli],3238,3233,3132,2893.18,14.71
sl3,Demagogie [Hetzerei],3552,3534,0,3003.01,不明
sl3,わがまま×マニフェスト [EX],3056,2915,0,2530.86,不明
sl3,少女監獄ヴァンパイアフィリア -ANOTHER-,4886,4854,0,4124.9,不明
sl3,Colour My Sky [Cartelet],5126,5097,0,4240.14,不明
sl3,The Third Castle [ANOTHER],3548,3486,0,2804.58,不明
sl3,虫 [Insecta],3346,3315,0,2867.05,不明
sl3,空 [ZOI],4450,4442,0,3970.34,不明
sl3,Take Me Away [SAETHER],3858,3835,0,3275.73,不明
sl3,LOSTAIR -SA-,3712,3688,0,3107.55,不明
sl3,strawberry happiness [UnHappiness],3276,3256,0,2790.1,不明
sl3,Castor(BMS edit) [QuintetStar],4000,3959,0,3342.62,不明
sl3,Dreadnought [Bravery],3880,3789,0,2918.92,不明
sl3,The ArcticLight,4000,3941,0,3062.28,不明
sl3,クーのテーマ [Sonic Wings],3544,3509,3191,2827.22,11.36
sl3,Blood Castle -Ether-,3102,3088,0,2596.32,不明
sl3,PASERI [7keys EX],3484,3459,0,2697.87,不明
sl3,Renaissance [Revolution],2926,2897,0,2445.47,不明
sl3,ametsuchi [SP EXTRA],4394,4393,0,3882.99,不明
